sl_pct,tp_pct,trail_pct,hold_max,lower,upper,PnL,Trades
0.0005,0.002,0.002,7,0.44,0.5,-907.1653739750036,93.0
0.0005,0.002,0.002,7,0.44,0.51,-1167.0041760739987,89.0
0.0005,0.002,0.002,7,0.45,0.48,-3033.0457542043587,114.0
0.0005,0.002,0.002,7,0.45,0.49,-2131.1280994469853,106.0
0.0005,0.002,0.002,7,0.45,0.5,-1887.8579085333768,99.0
0.0005,0.002,0.002,7,0.45,0.51,-2147.696710632372,95.0
0.0005,0.002,0.002,7,0.46,0.48,-3181.6663949294016,119.0
0.0005,0.002,0.002,7,0.46,0.49,-2133.9655687872582,111.0
0.0005,0.002,0.002,7,0.46,0.5,-2036.2834332452621,105.0
0.0005,0.002,0.002,7,0.46,0.51,-2296.122235344257,101.0
0.0005,0.002,0.002,7,0.47,0.48,-3198.01761193767,124.0
0.0005,0.002,0.002,7,0.47,0.49,-2260.9830890907906,116.0
0.0005,0.002,0.002,7,0.47,0.5,-2096.594352737273,111.0
0.0005,0.002,0.002,7,0.47,0.51,-2356.433154836268,107.0
0.0005,0.002,0.002,10,0.44,0.48,-1601.483920312341,95.0
0.0005,0.002,0.002,10,0.44,0.49,-514.2819166600239,88.0
0.0005,0.002,0.002,10,0.44,0.5,-324.89642683559214,80.0
0.0005,0.002,0.002,10,0.44,0.51,-259.723019051351,77.0
0.0005,0.002,0.002,10,0.45,0.48,-2718.749058649628,100.0
0.0005,0.002,0.002,10,0.45,0.49,-1750.9735691307724,93.0
0.0005,0.002,0.002,10,0.45,0.5,-1541.2929823155137,86.0
0.0005,0.002,0.002,10,0.45,0.51,-1476.1195745312725,83.0
0.0005,0.002,0.002,10,0.46,0.48,-2867.109555778865,105.0
0.0005,0.002,0.002,10,0.46,0.49,-1894.2459685961658,98.0
0.0005,0.002,0.002,10,0.46,0.5,-2090.0577947885467,91.0
0.0005,0.002,0.002,10,0.46,0.51,-2077.434587664058,88.0
0.0005,0.002,0.002,10,0.47,0.48,-3271.3447819458524,109.0
0.0005,0.002,0.002,10,0.47,0.49,-2097.031484346706,102.0
0.0005,0.002,0.002,10,0.47,0.5,-2092.9035309872415,95.0
