date,open,high,low,close,volume
2025-07-08 11:44:00,7.24,7.25,7.24,7.24,54910
2025-07-08 11:45:00,7.24,7.25,7.24,7.25,76190
2025-07-08 11:46:00,7.25,7.25,7.24,7.25,115491
2025-07-08 11:47:00,7.25,7.25,7.24,7.25,67428
2025-07-08 11:48:00,7.25,7.25,7.24,7.25,158900
2025-07-08 11:49:00,7.25,7.25,7.24,7.25,48791
2025-07-08 11:50:00,7.24,7.25,7.24,7.24,43173
2025-07-08 11:51:00,7.24,7.25,7.24,7.24,85159
2025-07-08 11:52:00,7.24,7.25,7.24,7.24,94385
2025-07-08 11:53:00,7.24,7.25,7.24,7.25,363464
2025-07-08 11:54:00,7.24,7.25,7.24,7.24,59473
2025-07-08 11:55:00,7.24,7.25,7.24,7.24,67398
2025-07-08 11:56:00,7.24,7.25,7.24,7.25,429150
2025-07-08 11:57:00,7.24,7.26,7.24,7.26,963072
2025-07-08 11:58:00,7.25,7.26,7.24,7.25,2073117
2025-07-08 11:59:00,7.25,7.25,7.24,7.24,442652
2025-07-08 12:00:00,7.25,7.25,7.24,7.25,55875
2025-07-08 12:01:00,7.25,7.25,7.24,7.25,128851
2025-07-08 12:02:00,7.25,7.25,7.24,7.25,39132
2025-07-08 12:03:00,7.25,7.25,7.24,7.25,384513
2025-07-08 12:04:00,7.25,7.25,7.24,7.24,107795
2025-07-08 12:05:00,7.25,7.26,7.24,7.26,401114
2025-07-08 12:06:00,7.26,7.26,7.25,7.26,108905
2025-07-08 12:07:00,7.26,7.26,7.25,7.26,118300
2025-07-08 12:08:00,7.26,7.26,7.25,7.26,48820
2025-07-08 12:09:00,7.26,7.26,7.25,7.26,82384
2025-07-08 12:10:00,7.26,7.26,7.25,7.26,34405
2025-07-08 12:11:00,7.26,7.26,7.25,7.26,83092
2025-07-08 12:12:00,7.26,7.26,7.25,7.26,19931
2025-07-08 12:13:00,7.26,7.26,7.25,7.26,415045
2025-07-08 12:14:00,7.26,7.26,7.24,7.25,1064925
2025-07-08 12:15:00,7.25,7.26,7.24,7.26,542159
2025-07-08 12:16:00,7.26,7.26,7.25,7.26,110523
2025-07-08 12:17:00,7.25,7.26,7.25,7.26,78237
2025-07-08 12:18:00,7.26,7.26,7.25,7.26,44434
2025-07-08 12:19:00,7.26,7.26,7.25,7.26,118183
2025-07-08 12:20:00,7.26,7.26,7.25,7.25,312932
2025-07-08 12:21:00,7.25,7.25,7.24,7.24,141977
2025-07-08 12:22:00,7.25,7.25,7.22,7.23,4566628
2025-07-08 12:23:00,7.23,7.24,7.22,7.24,635746
2025-07-08 12:24:00,7.23,7.24,7.23,7.23,123473
2025-07-08 12:25:00,7.24,7.24,7.23,7.24,156334
2025-07-08 12:26:00,7.23,7.24,7.23,7.24,129739
2025-07-08 12:27:00,7.23,7.24,7.23,7.23,41021
2025-07-08 12:28:00,7.24,7.24,7.23,7.24,68759
2025-07-08 12:29:00,7.24,7.24,7.23,7.24,62502
2025-07-08 12:30:00,7.24,7.25,7.23,7.25,613677
2025-07-08 12:31:00,7.24,7.25,7.24,7.25,170286
2025-07-08 12:32:00,7.26,7.26,7.25,7.26,582503
2025-07-08 12:33:00,7.26,7.26,7.25,7.25,186963
2025-07-08 12:34:00,7.26,7.26,7.25,7.26,123819
2025-07-08 12:35:00,7.25,7.26,7.25,7.26,86999
2025-07-08 12:36:00,7.26,7.26,7.25,7.25,260105
2025-07-08 12:37:00,7.25,7.26,7.25,7.26,82953
2025-07-08 12:38:00,7.25,7.26,7.25,7.26,88364
2025-07-08 12:39:00,7.26,7.27,7.26,7.27,3446351
2025-07-08 12:40:00,7.27,7.28,7.27,7.27,123826
2025-07-08 12:41:00,7.27,7.28,7.25,7.26,1263095
2025-07-08 12:42:00,7.26,7.26,7.25,7.26,202832
2025-07-08 12:43:00,7.26,7.27,7.25,7.26,489928
2025-07-08 12:44:00,7.26,7.28,7.26,7.27,1579451
2025-07-08 12:45:00,7.27,7.27,7.26,7.26,1059341
2025-07-08 12:46:00,7.26,7.27,7.26,7.27,1096251
2025-07-08 12:47:00,7.27,7.27,7.26,7.26,65518
2025-07-08 12:48:00,7.27,7.27,7.26,7.27,94311
2025-07-08 12:49:00,7.27,7.27,7.26,7.26,70667
2025-07-08 12:50:00,7.26,7.27,7.26,7.26,260299
2025-07-08 12:51:00,7.27,7.29,7.26,7.28,4674035
2025-07-08 12:52:00,7.28,7.29,7.28,7.29,662865
2025-07-08 12:53:00,7.29,7.29,7.28,7.29,681821
2025-07-08 12:54:00,7.29,7.29,7.28,7.28,608120
2025-07-08 12:55:00,7.28,7.3,7.28,7.3,1708326
2025-07-08 12:56:00,7.3,7.3,7.29,7.3,1047518
2025-07-08 12:57:00,7.3,7.3,7.29,7.3,144843
2025-07-08 12:58:00,7.3,7.3,7.29,7.3,172621
2025-07-08 12:59:00,7.3,7.3,7.27,7.27,23662674
2025-07-08 13:00:00,7.27,7.27,7.25,7.25,1717394
2025-07-08 13:01:00,7.25,7.27,7.25,7.27,593131
2025-07-08 13:02:00,7.27,7.28,7.26,7.28,1306074
2025-07-08 13:03:00,7.27,7.28,7.27,7.27,196893
2025-07-08 13:04:00,7.27,7.28,7.27,7.27,141671
2025-07-08 13:05:00,7.27,7.28,7.27,7.28,278467
2025-07-08 13:06:00,7.28,7.28,7.27,7.27,183887
2025-07-08 13:07:00,7.27,7.28,7.27,7.28,49742
2025-07-08 13:08:00,7.27,7.28,7.27,7.28,130190
2025-07-08 13:09:00,7.27,7.28,7.27,7.27,152284
2025-07-08 13:10:00,7.27,7.28,7.27,7.28,595328
2025-07-08 13:11:00,7.28,7.28,7.27,7.28,263242
2025-07-08 13:12:00,7.28,7.28,7.27,7.28,240910
2025-07-08 13:13:00,7.28,7.28,7.27,7.27,139207
2025-07-08 13:14:00,7.28,7.28,7.27,7.28,89844
2025-07-08 13:15:00,7.27,7.28,7.27,7.27,126580
2025-07-08 13:16:00,7.27,7.28,7.27,7.27,387889
2025-07-08 13:17:00,7.27,7.28,7.27,7.28,71778
2025-07-08 13:18:00,7.28,7.28,7.27,7.28,178171
2025-07-08 13:19:00,7.28,7.28,7.27,7.28,79141
2025-07-08 13:20:00,7.27,7.29,7.27,7.29,1112200
2025-07-08 13:21:00,7.29,7.29,7.28,7.29,124451
2025-07-08 13:22:00,7.29,7.29,7.28,7.28,242843
2025-07-08 13:23:00,7.28,7.28,7.27,7.28,37143
2025-07-08 13:24:00,7.28,7.28,7.27,7.27,124108
2025-07-08 13:25:00,7.27,7.28,7.27,7.28,230781
2025-07-08 13:26:00,7.28,7.28,7.26,7.27,776308
