date,open,high,low,close,volume,vol_avg20,volatility_5,high_low_range,high_N,low_N,channel_mid,ema_8,ema_21,ema_50,vwap,rsi_14,supertrend,supertrend_dir,bb_upper,bb_lower,bb_mid,bb_width,atr,atr_median20,adx
2024-02-26 14:45:00,1429.95,1430.0,1425.3,1426.55,240372,260317.9,0.0011595003860225188,4.7000000000000455,1434.85,1428.55,1431.6999999999998,1430.5042243442151,1429.6623689528653,,1427.283514673316,46.571428571428484,1424.4171799283938,1,1435.449784528237,1424.0002154717629,1429.725,0.008008231692440318,3.2402677496602394,3.480094609159711,27.234922600819097
2024-02-26 14:55:00,1426.55,1428.25,1424.05,1424.95,405427,271987.3,0.0009269807115225777,4.2000000000000455,1434.85,1425.3,1430.0749999999998,1429.2699522677228,1429.233971775332,,1427.218155221766,41.129032258064704,1424.4171799283938,1,1435.6405411770852,1423.5294588229149,1429.585,0.008471746943462859,3.33624097469422,3.4265636459569606,26.996058951582096
2024-02-26 15:05:00,1424.85,1424.95,1422.05,1422.45,734520,298083.5,0.0005623186701261515,2.900000000000091,1434.85,1424.05,1429.4499999999998,1427.7544073193399,1428.6172470684837,,1426.9265429168659,33.90663390663413,1433.3778506316744,-1,1436.04504817245,1422.82495182755,1429.435,0.009248476737242398,3.2926168772248072,3.3712389700774326,27.36858301840457
2024-02-26 15:15:00,1422.4,1422.5,1420.0,1420.6,834637,330741.3,0.0005679458705739111,2.5,1434.85,1422.05,1428.4499999999998,1426.1645390261533,1427.8884064258941,,1426.482681972996,29.49308755760373,1430.890065568507,-1,1436.759577080563,1421.475422919437,1429.1175,0.010694819817912898,3.2133551895023267,3.3410425702628164,28.235900075016634
2024-02-26 15:25:00,1420.65,1422.5,1420.05,1421.95,269062,336210.2,0.0012552993607162235,2.4500000000000455,1434.85,1420.0,1427.425,1425.2279747981192,1427.3485512962673,,1426.3645699172691,26.086956521740035,1430.6860590116564,-1,1437.0781098042814,1420.8168901957185,1428.9475,0.011379857978381154,3.1370196705520987,3.331605685792666,29.041265913299263
2024-02-27 09:15:00,1415.9,1419.5,1413.55,1419.45,1396091,398075.9,0.0011239151166833284,5.9500000000000455,1434.6,1420.0,1427.3,1423.9439803985372,1426.6305011784248,,1417.5,23.110151187905245,1427.5149531104908,-1,1437.7224153770626,1419.4875846229374,1428.605,0.012764081571970598,3.6633177034968982,3.331605685792666,31.014686359673505
2024-02-27 09:25:00,1419.2,1419.65,1415.25,1417.2,489366,413521.75,0.0011554472782535257,4.400000000000091,1434.6,1413.55,1424.0749999999998,1422.445318087751,1425.773182889477,,1417.4653936419656,21.57258064516168,1427.5149531104908,-1,1438.5266991634714,1417.6283008365283,1428.0774999999999,0.014633938513101073,3.7369859331472175,3.331605685792666,32.76881228172926
2024-02-27 09:35:00,1417.3,1418.2,1415.5,1417.15,304906,418043.5,0.0011639034664505396,2.7000000000000455,1434.35,1413.55,1423.9499999999998,1421.2685807349176,1424.9892571722519,,1417.393649089215,22.199170124481768,1427.5149531104908,-1,1439.0559969819035,1415.9890030180966,1427.5225,0.01615876034444781,3.6332873398325005,3.331605685792666,34.39764349506675
2024-02-27 09:45:00,1417.15,1420.3,1416.35,1418.6,575021,433980.05,0.0013379154821146957,3.9500000000000455,1434.35,1413.55,1423.9499999999998,1420.6755627938248,1424.408415611138,,1417.6063705739723,15.349887133182321,1427.5149531104908,-1,1439.1755710132954,1414.8294289867047,1427.0025,0.01706103670217184,3.664958605849255,3.331605685792666,34.77601900461688
2024-02-27 09:55:00,1418.9,1419.45,1417.7,1418.95,197973,428762.65,0.0012065893521028272,1.75,1432.35,1413.55,1422.9499999999998,1420.2921043951972,1423.9121960101254,,1417.6794326783217,17.201834862385354,1427.5149531104908,-1,1439.098390986577,1413.8516090134228,1426.475,0.01769872025317955,3.47346274526433,3.331605685792666,35.12736769205628
2024-02-27 10:05:00,1419.0,1419.25,1414.3,1415.0,619427,403775.2,0.0015334745718108482,4.9500000000000455,1430.0,1413.55,1421.775,1419.1160811962645,1423.1019963728413,,1417.4207722821136,13.043478260869406,1427.5149531104908,-1,1438.974174912607,1412.2908250873934,1425.6325000000002,0.018716850117553828,3.6211164707379013,3.331605685792666,36.146346400939706
2024-02-27 10:15:00,1415.2,1416.25,1413.05,1414.3,506897,415980.9,0.0014376676262547593,3.2000000000000455,1428.25,1413.55,1420.9,1418.0458409304279,1422.3018148844012,,1417.0628876107126,12.185686653772038,1425.3870144709924,-1,1438.6631727295796,1410.8418272704205,1424.7525,0.019527142755783346,3.579004823664116,3.331605685792666,37.3089251145294
2024-02-27 10:25:00,1414.3,1418.0,1414.1,1417.75,474370,431545.9,0.001937469631215273,3.900000000000091,1424.95,1413.05,1419.0,1417.980098501444,1421.8880135312738,,1417.0165091129204,24.626865671642136,1425.3870144709924,-1,1437.9628401943266,1410.1871598056734,1424.075,0.019504366264875908,3.6111043412977133,3.331605685792666,37.4872019619175
2024-02-27 10:35:00,1417.75,1419.85,1417.35,1419.85,311634,435725.5,0.002002584320885345,2.5,1422.5,1413.05,1417.775,1418.3956321677897,1421.7027395738853,,1417.1443510672516,31.63636363636354,1425.3870144709924,-1,1437.2001071121638,1409.8798928878366,1423.5400000000002,0.01919174327685017,3.499993907167942,3.3664373745088363,36.79268583661582
